video,unique_phase_count,phase_coverage,phase_0_frames,phase_0_percentage,phase_1_frames,phase_1_percentage,phase_2_frames,phase_2_percentage,phase_3_frames,phase_3_percentage,phase_4_frames,phase_4_percentage,phase_5_frames,phase_5_percentage,phase_6_frames,phase_6_percentage,avg_risk,max_risk,risk_std,critical_risk_events,critical_risk_percentage,phase_transition_count,transition_efficiency,avg_phase_progress,phase_0_progress_rate,phase_1_progress_rate,phase_2_progress_rate,phase_3_progress_rate,phase_4_progress_rate,phase_5_progress_rate,phase_6_progress_rate,global_outcome_score
VID01,7,1.0,22.0,1.2687427912341407,652,37.60092272202999,214,12.341407151095732,583,33.621683967704726,98,5.651672433679354,73.0,4.2099192618223755,92,5.3056516724336795,3.2508650519031144,5.0,1.7095757350919198,773,44.57900807381776,6,0.8571428571428571,0.5,0.045454545454545456,0.0015337423312883436,0.004672897196261682,0.0017152658662092624,0.01020408163265306,0.0136986301369863,0.010869565217391304,5.763766683143846
VID04,7,1.0,292.0,19.17268548916612,607,39.85554826001313,66,4.333552199606041,276,18.122127380170717,38,2.495075508864084,95.0,6.23768877216021,149,9.783322390019698,3.1838476690741957,5.0,1.7071405120681593,630,41.365725541694026,6,0.8571428571428571,0.5,0.003424657534246575,0.0016474464579901153,0.015151515151515152,0.0036231884057971015,0.02631578947368421,0.010526315789473684,0.006711409395973154,5.8039771128411966
VID05,7,1.0,65.0,2.771855010660981,951,40.55437100213219,289,12.32409381663113,240,10.23454157782516,119,5.074626865671641,111.0,4.733475479744136,570,24.307036247334754,3.049893390191898,5.0,1.7550612128078549,854,36.417910447761194,6,0.8571428571428571,0.5,0.015384615384615385,0.0010515247108307045,0.0034602076124567475,0.004166666666666667,0.008403361344537815,0.009009009009009009,0.0017543859649122807,5.884349680170575
VID08,7,1.0,99.0,6.513157894736842,667,43.881578947368425,89,5.855263157894737,310,20.394736842105264,68,4.473684210526316,99.0,6.513157894736842,188,12.368421052631579,3.4848684210526315,5.0,1.7086567465186864,724,47.63157894736842,6,0.8571428571428571,0.5,0.010101010101010102,0.0014992503748125937,0.011235955056179775,0.0032258064516129032,0.014705882352941176,0.010101010101010102,0.005319148936170213,5.6233646616541355
VID10,7,1.0,59.0,3.371428571428572,552,31.542857142857144,199,11.371428571428572,711,40.62857142857143,71,4.057142857142857,114.0,6.514285714285714,44,2.5142857142857142,3.714857142857143,5.0,1.6531724850438694,920,52.57142857142857,6,0.8571428571428571,0.5,0.01694915254237288,0.0018115942028985507,0.005025125628140704,0.0014064697609001407,0.014084507042253521,0.008771929824561403,0.022727272727272728,5.485371428571429
VID103,6,0.8571428571428571,,,912,41.08108108108108,119,5.36036036036036,171,7.7027027027027035,292,13.153153153153152,38.0,1.7117117117117115,688,30.99099099099099,3.1995495495495496,5.0,1.8260625130588757,1065,47.97297297297297,6,1.0,0.5,,0.0010964912280701754,0.008403361344537815,0.005847953216374269,0.003424657534246575,0.02631578947368421,0.0014534883720930232,5.651698841698842
VID110,7,1.0,79.0,3.628847037207166,585,26.87184198438218,143,6.568672485071199,722,33.164905833716126,101,4.639412034910427,193.0,8.865411116214975,354,16.260909508497935,3.136885622416169,5.0,1.810905574760374,969,44.51079467156638,6,0.8571428571428571,0.5,0.012658227848101266,0.0017094017094017094,0.006993006993006993,0.0013850415512465374,0.009900990099009901,0.0051813471502590676,0.002824858757062147,5.832154340836013
VID12,7,1.0,157.0,14.390467461044912,362,33.18056828597617,92,8.43263061411549,308,28.230980751604033,42,3.84967919340055,102.0,9.349220898258478,28,2.566452795600367,3.40788267644363,5.0,1.7745249448802825,566,51.879010082493124,6,0.8571428571428571,0.5,0.006369426751592357,0.0027624309392265192,0.010869565217391304,0.003246753246753247,0.023809523809523808,0.00980392156862745,0.03571428571428571,5.6695561084195365
VID13,6,0.8571428571428571,,,369,37.57637474541752,82,8.350305498981669,370,37.67820773930753,70,7.128309572301425,29.0,2.9531568228105907,62,6.313645621181263,4.3095723014256615,5.0,1.4091243328046095,776,79.0224032586558,5,0.8333333333333334,0.5,,0.0027100271002710027,0.012195121951219513,0.002702702702702703,0.014285714285714285,0.034482758620689655,0.016129032258064516,4.652351857239841
VID15,7,1.0,139.0,6.750849927149101,310,15.055852355512384,304,14.764448761534727,1037,50.36425449247207,96,4.662457503642544,98.0,4.759592034968431,75,3.6425449247207387,3.4492472073822245,5.0,1.6587803867971331,892,43.32200097134532,6,0.8571428571428571,0.5,0.007194244604316547,0.0032258064516129032,0.003289473684210526,0.0009643201542912247,0.010416666666666666,0.01020408163265306,0.013333333333333334,5.644737389856379
VID18,7,1.0,34.0,1.7498713329902211,749,38.54863612969635,238,12.24909933093155,613,31.549150797735457,77,3.9629439011837366,174.0,8.955223880597014,58,2.9850746268656714,4.0488934637159035,5.0,1.5011327205300347,1289,66.34071024189397,6,0.8571428571428571,0.5,0.029411764705882353,0.0013351134846461949,0.004201680672268907,0.0016313213703099511,0.012987012987012988,0.005747126436781609,0.017241379310344827,5.284949636056172
VID22,6,0.8571428571428571,,,460,30.006523157208086,184,12.002609262883235,416,27.136333985649053,87,5.6751467710371815,281.0,18.33007175472929,105,6.8493150684931505,3.9660795825179385,5.0,1.4976032468115046,918,59.8825831702544,5,0.8333333333333334,0.5,,0.002173913043478261,0.005434782608695652,0.002403846153846154,0.011494252873563218,0.0035587188612099642,0.009523809523809525,4.858447488584475
VID26,7,1.0,99.0,5.580608793686584,637,35.90755355129651,180,10.146561443066517,588,33.14543404735062,61,3.4385569334836523,188.0,10.597519729425029,21,1.1837655016910935,3.96674182638106,5.0,1.598519214674114,1185,66.79819616685457,6,0.8571428571428571,0.5,0.010101010101010102,0.0015698587127158557,0.005555555555555556,0.0017006802721088435,0.01639344262295082,0.005319148936170213,0.047619047619047616,5.334240618457078
VID27,7,1.0,80.0,3.8369304556354913,826,39.61630695443645,322,15.443645083932852,524,25.13189448441247,170,8.15347721822542,109.0,5.227817745803357,54,2.5899280575539567,3.825419664268585,5.0,1.5255541522226983,1214,58.225419664268586,6,0.8571428571428571,0.5,0.0125,0.0012106537530266344,0.003105590062111801,0.0019083969465648854,0.0058823529411764705,0.009174311926605505,0.018518518518518517,5.4190339157245635
VID29,6,0.8571428571428571,,,510,21.692896639727778,181,7.698851552530837,1027,43.68353891960868,122,5.189281156954487,464.0,19.736282433007233,47,1.999149298170991,3.612079965971927,5.0,1.731217725918005,1309,55.678434708634626,5,0.8333333333333334,0.5,,0.00196078431372549,0.0055248618784530384,0.0009737098344693282,0.00819672131147541,0.0021551724137931034,0.02127659574468085,5.070847258512082
VID31,7,1.0,167.0,4.232133806386214,2957,74.93664470349721,440,11.150532184490624,224,5.676634566649772,99,2.50886974151039,55.0,1.393816523061328,4,0.10136847440446022,4.021540800810948,5.0,1.3414867416928224,2242,56.81702990369995,6,0.8571428571428571,0.5,0.005988023952095809,0.00033818058843422386,0.0022727272727272726,0.004464285714285714,0.010101010101010102,0.01818181818181818,0.25,5.301361233799145
VID32,6,0.8571428571428571,,,1019,48.13415210203117,123,5.8101086443079835,658,31.081719414265468,75,3.542749173358526,141.0,6.660368445914029,101,4.7709022201228155,3.6329711856400566,5.0,1.5306379186464263,912,43.07982994803968,5,0.8333333333333334,0.5,,0.0009813542688910696,0.008130081300813009,0.001519756838905775,0.013333333333333334,0.0070921985815602835,0.009900990099009901,5.058312526711204
