Epoch 1/2, Train Loss: 0.5052, Val Loss: 1.3991
Action Prediction Accuracy:
--------------------------------------------------
Horizon    Top-k      Accuracy  
--------------------------------------------------
1          mAP             0.0000
1          1          0.4462
1          3          0.6917
1          5          0.7660
1          10         0.8129
3          mAP             0.0000
3          1          0.4326
3          3          0.6212
3          5          0.7389
3          10         0.8001
5          mAP             0.0000
5          1          0.4254
5          3          0.5958
5          5          0.7252
5          10         0.7930
10         mAP             0.0000
10         1          0.4126
10         3          0.5638
10         5          0.7004
10         10         0.7823
15         mAP             0.0000
15         1          0.4038
15         3          0.5499
15         5          0.6955
15         10         0.7790
--------------------------------------------------
