Method,Video_ID,mAP_Percentage
Autoregressive IL,VID02,45.36953921828671
Autoregressive IL,VID06,53.49787979669166
Autoregressive IL,VID111,47.516731648797325
Autoregressive IL,VID14,32.88212753048126
Autoregressive IL,VID23,44.190359656189926
Autoregressive IL,VID25,65.15556967246448
Autoregressive IL,VID50,58.15507423680483
Autoregressive IL,VID51,48.224605009561
Autoregressive IL,VID66,61.93666075509946
Autoregressive IL,VID79,39.40519430992508
Autoregressive IL (IVT),VID02,28.930361153445617
Autoregressive IL (IVT),VID06,34.11348252878196
Autoregressive IL (IVT),VID111,30.299540861922335
Autoregressive IL (IVT),VID14,20.967632498393343
Autoregressive IL (IVT),VID23,28.178444973911844
Autoregressive IL (IVT),VID25,41.54713039322924
Autoregressive IL (IVT),VID50,37.083191268076064
Autoregressive IL (IVT),VID51,30.750923713294608
Autoregressive IL (IVT),VID66,39.49455945898704
Autoregressive IL (IVT),VID79,25.127134248000917
